draw,chain,district
1475,1,5
1477,1,1
1477,1,2
1477,1,3
1477,1,4
1477,1,5
1481,1,1
1481,1,2
1481,1,3
1481,1,4
1481,1,5
1482,1,1
1482,1,2
1482,1,3
1482,1,4
1482,1,5
1488,1,1
1488,1,2
1488,1,3
1488,1,4
1488,1,5
1496,1,1
1496,1,2
1496,1,3
1496,1,4
1496,1,5
1505,1,1
1505,1,2
1505,1,3
1505,1,4
1505,1,5
1506,1,1
1506,1,2
1506,1,3
1506,1,4
1506,1,5
1507,1,1
1507,1,2
1507,1,3
1507,1,4
1507,1,5
1509,1,1
1509,1,2
1509,1,3
1509,1,4
1509,1,5
1512,1,1
1512,1,2
1512,1,3
1512,1,4
1512,1,5
1513,1,1
1513,1,2
1513,1,3
1513,1,4
1513,1,5
1514,1,1
1514,1,2
1514,1,3
1514,1,4
1514,1,5
1515,1,1
1515,1,2
1515,1,3
1515,1,4
1515,1,5
1521,1,1
1521,1,2
1521,1,3
1521,1,4
1521,1,5
1523,1,1
1523,1,2
1523,1,3
1523,1,4
1523,1,5
1528,1,1
1528,1,2
1528,1,3
1528,1,4
1528,1,5
1529,1,1
1529,1,2
1529,1,3
1529,1,4
1529,1,5
1532,1,1
1532,1,2
1532,1,3
1532,1,4
1532,1,5
1543,1,1
1543,1,2
1543,1,3
1543,1,4
1543,1,5
1544,1,1
1544,1,2
1544,1,3
1544,1,4
1544,1,5
1551,1,1
1551,1,2
1551,1,3
1551,1,4
1551,1,5
1557,1,1
1557,1,2
1557,1,3
1557,1,4
1557,1,5
1560,1,1
1560,1,2
1560,1,3
1560,1,4
1560,1,5
1565,1,1
1565,1,2
1565,1,3
1565,1,4
1565,1,5
1567,1,1
1567,1,2
1567,1,3
1567,1,4
1567,1,5
1569,1,1
1569,1,2
1569,1,3
1569,1,4
1569,1,5
1574,1,1
1574,1,2
1574,1,3
1574,1,4
1574,1,5
1579,1,1
1579,1,2
1579,1,3
1579,1,4
1579,1,5
1580,1,1
1580,1,2
1580,1,3
1580,1,4
1580,1,5
1581,1,1
1581,1,2
1581,1,3
1581,1,4
1581,1,5
1587,1,1
1587,1,2
1587,1,3
1587,1,4
1587,1,5
1595,1,1
1595,1,2
1595,1,3
1595,1,4
1595,1,5
1598,1,1
1598,1,2
1598,1,3
1598,1,4
1598,1,5
1608,1,1
1608,1,2
1608,1,3
1608,1,4
1608,1,5
1626,1,1
1626,1,2
1626,1,3
1626,1,4
1626,1,5
1632,1,1
1632,1,2
1632,1,3
1632,1,4
1632,1,5
1636,1,1
1636,1,2
1636,1,3
1636,1,4
1636,1,5
1645,1,1
1645,1,2
1645,1,3
1645,1,4
1645,1,5
1646,1,1
1646,1,2
1646,1,3
1646,1,4
1646,1,5
1648,1,1
1648,1,2
1648,1,3
1648,1,4
1648,1,5
1650,1,1
1650,1,2
1650,1,3
1650,1,4
1650,1,5
1651,1,1
1651,1,2
1651,1,3
1651,1,4
1651,1,5
1654,1,1
1654,1,2
1654,1,3
1654,1,4
1654,1,5
1656,1,1
1656,1,2
1656,1,3
1656,1,4
1656,1,5
1657,1,1
1657,1,2
1657,1,3
1657,1,4
1657,1,5
1662,1,1
1662,1,2
1662,1,3
1662,1,4
1662,1,5
1665,1,1
1665,1,2
1665,1,3
1665,1,4
1665,1,5
1670,1,1
1670,1,2
1670,1,3
1670,1,4
1670,1,5
1673,1,1
1673,1,2
1673,1,3
1673,1,4
1673,1,5
1677,1,1
1677,1,2
1677,1,3
1677,1,4
1677,1,5
1680,1,1
1680,1,2
1680,1,3
1680,1,4
1680,1,5
1683,1,1
1683,1,2
1683,1,3
1683,1,4
1683,1,5
1687,1,1
1687,1,2
1687,1,3
1687,1,4
1687,1,5
1688,1,1
1688,1,2
1688,1,3
1688,1,4
1688,1,5
